1/31/2020 9:20:50 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:20:50 AM End of Bootstrapper, Information
1/31/2020 9:21:28 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.set_RandomObjects(System.Collections.ObjectModel.ObservableCollection`1[UnitySample.Common.Entities.RandomObject]), Verbose
1/31/2020 9:21:28 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:21:28 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:21:28 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:21:28 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:21:28 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.set_RandomObjects(System.Collections.ObjectModel.ObservableCollection`1[UnitySample.Common.Entities.RandomObject]), Verbose
1/31/2020 9:21:46 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:21:46 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:23:34 AM Start Bootstrapper, Information
1/31/2020 9:23:34 AM unknown User: Enter Method: System.ComponentModel.INotifyPropertyChanged.add_PropertyChanged(System.ComponentModel.PropertyChangedEventHandler), Verbose
1/31/2020 9:23:34 AM unknown User: Exit Method: System.ComponentModel.INotifyPropertyChanged.add_PropertyChanged(System.ComponentModel.PropertyChangedEventHandler), Verbose
1/31/2020 9:23:35 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:23:35 AM unknown User: Exit Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
1/31/2020 9:23:35 AM End of Bootstrapper, Information
1/31/2020 9:23:40 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.set_RandomObjects(System.Collections.ObjectModel.ObservableCollection`1[UnitySample.Common.Entities.RandomObject]), Verbose
1/31/2020 9:23:40 AM unknown User: Enter Method: UnitySample.MainWindowViewModel.get_RandomObjects(), Verbose
